year,sales,rate,income,deposits,sum,balance
#1998,2513,       ,4548,3793.85
1999,2988,1759.10,5416,4383.64,68177.50,66418.40
2000,3935,3714.74,5885,4417.49,72594.99,68880.25
2001,4862,6182.08,7450,5513.36,78108.35,71926.27
2002,6032,9107.52,8395,5881.69,83990.03,74882.51
2003,9555,12625.76,10271,6908.23,90898.27,78272.51
2004,10375,17218.06,12154,7710.18,98608.45,81390.39
2005,17576,23149.28,14311,7248.26,105856.70,82707.42
2006,20825,33662.68,12019,3168.81,109025.51,75362.83
2007,29889,45637.50,22968,10472.60,119498.11,73860.61
2008,25068,63031.32,28312,15918.52,135416.63,72385.31
2009,44355,75705.60,31669,12509.20,147925.83,72220.23
2010,52721,100900.86,37755,14137.88,162063.71,61162.85
2011,58588,130004.24,45266,17637.89,179701.60,49697.36
2012,64455,160964.40,56163,24380.90,204082.50,43118.10
2013,81428,193637.70,58343,18942.86,223025.35,29387.65
2014,76292,235665.98,66488,25379.55,248404.90,12738.92
2015,87280,270849.58,75597,28471.73,276876.64,6027.06
2016,117627,311004.50,83556,24222.48,301099.12,-9905.38
